PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
469004980019,BT CHANNEL OF SIZES,Dispose,3000.0,Dead Stock,Operational,3000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469028501865,STOP BOARD W/O ANGLE,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469029100015,HAMMER BALL PIN 0.5 KG,Dispose,390.0,Dead Stock,Operational,390.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469029110010,HAMMER SLEDGE 7 lbs,Dispose,220.0,Dead Stock,Operational,220.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469029750666,WALKIE TALKIE MOTOROLA  XiR P6600i,Retain,115828.8,Active,Operational,115828.8,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469030180140,BATTERY CHARGER 230/24V/20A,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469030575340,HSS Drill bit 7.2MM,Retain,25773.0,Active,Operational,25773.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469031854042,FIT AND FORGET BOND WIRE 1 MTR.,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469031854054,FIT AND FORGET BOND WIRE 2 MTR.,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469031854297,FIT AND FORGET JUMPER WIRE 4.5 MTR,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469032830010,"RELEASED EMPTY BARREL 200 LITRE CAPACITY, PLASTIC",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469033601210,EXIDE Polypropylene Co-Polymenr (PPCP) Stationary Valve Regulated Lead Acid Batteries 12 V....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469033851421,ENAMELED NUMBER PLATES,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469034151893,TABLE STEEL OFF SIZE,Dispose,900.0,Dead Stock,Operational,900.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469035021002,VERNIER CALIPERS 0 MM-300 MM,Dispose,500.0,Dead Stock,Operational,500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469037912362,Industrial Safety Belts and Harnesses Class A and Class D and Class E and Class L and Cl....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469040811093,Goods warning board (Fiber),Retain,74646.12,Active,Operational,74646.12,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469040811093,Goods warning board (Fiber),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469040811093,Goods warning board (Fiber),Retain,19000.0,Active,Operational,19000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469043980011,TABLE GLASS PLAIN  ( 8 MM THICK ),Dispose,750.0,Dead Stock,Operational,750.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469056800016,BLOCK INSTRUMENT FM TYPE,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469069190015,Angles of Sizes,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469096960018,MISCELLANEOUS Copper ( Non Ferrous ),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200013535,Diesel Generator 6KVA.,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200013894,DIESEL GENERATORS 15KVA,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200014540,Diesel Generator 5 KVA.,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200014801,Diesel Generator 7.5 KVA,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200403829,kettle element connector,Retain,44306.32,Active,Operational,44306.32,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200474034,Automatic Voltage regulator (Defective) .,Rationalize,12019.2,Slow Moving,Operational,12019.2,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
470200733647,PORTABLE GENERATOR HIMALAYAN POWER,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Monitor,13095.64,,Strategic,13095.64,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
472002300013,TRANSFORMERS,Dispose,12600.0,Dead Stock,Operational,12600.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
472002301340,1:1 transformer 1KVA/500VA,Rationalize,40000.0,Slow Moving,Operational,40000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
472200010180,INTEGRATED POWER SUPPLY (IPS)  06 Line,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
472200010490,INTEGRATED POWER SUPPLY (IPS) for 6 lines Station STATCON MAKE.,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
473500354432,OIL PUMP ROTARY TYPE,Dispose,500.0,Dead Stock,Operational,500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
473605580020,ONLINE 3 KVA UPS,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
479007400129,HACK SAW FRAME,Dispose,100.0,Dead Stock,Operational,100.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
479007733880,Fire Alarm Fire Survival Cable 2 X 1.5 sq.mm unarmored,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
479900041827,4KVA Stabilizer for AC UNIT,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500500680017,Half split DWC pipe,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500600100886,10 Pair Cable,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500600291023,Amplifier for Announcing System (LC gate),Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260014,GI pipe 2 (50 mm),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260269,GI pipe 100mm,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Retain,258350.4,Active,Operational,258350.4,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Retain,927712.8,Active,Operational,927712.8,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000260543,GI pipe 100mm dia 6 Mtrs long,Retain,67149.6,Active,Operational,67149.6,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
