PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
560604104140,TRANSFORMER RECTIFIER 110VAC/24VDC/5 AMPS,MAS,,,,TSB,Very Low,12.9669,,,,,,,,Yes,Yes
560604104229,TRANSFORMER RECTIFIER 110V/12V/2A,MAS,,,,SBA,Very Low,2.9231,,,,,,,,Yes,Yes
560604185620,ELB LC GATE Control Panel,MAS,,,,SBA,Very Low,8.0222,,,,,,,,,
560604185631,EMERGENCY SLIDING BOOM ASSEMBLY WITH ALL ACCESSORIES,MAS,,,,TSB,Very Low,24.745,,,,,,,,,
560604185874,LC GATE PANEL (PTJ MAKE),MAS,,,,SBA,Very Low,5.7,,,,,,,,Yes,Yes
560604186131,Electrical Operating Panel for Lifting barrier Gate(Without Relay) PTJ Make,MAS,,,,SBA,Very Low,21.0416,,,,,,,,Yes,Yes
560604186143,EMERGENCY SLIDING BOOM COMPLETE SET (PTJ MAKE),MAS,,,,TSB,Very Low,22.9575,,,,,,,,Yes,Yes
560604295813,Earth leakage detector 8 Channel with accessories (ANUVIDHUT),MAS,,,,SBA,Very Low,16.4255,,,,,,,,Yes,Yes
560604296362,Earth Leakage Detector (8 channel) as per RDSO specification no. RDSO/SPN/256/2002 or latest,MAS,,,,TSB,Very Low,15.9226,,,,,,,,Yes,Yes
560604545830,Electrical Drilling Machine input 110V model WDH 13/23mm heavy duty drill 595 watts on full load wit....,MAS,,,,SBA,Very Low,2.8643,,,,,,,,Yes,Yes
560604970024,RISHABH Category III 1000 V of IEC 61010 Available Insulation Tester,MAS,,,,TSB,Very Low,3.4092,,,,,,,,Yes,Yes
560604970097,DIGITAL INSULATION TESTER,MAS,,,,SBA,Very Low,51.3335,,,,,,,,Yes,Yes
560605284574,Condenser 10000 MFD 50V,MAS,,,,SBA,Low,289.8217,,,,,,,,,
560605305127,ELECTRICAL DETECTOR,MAS,,,,SBA,Low,0.2651,,,,,,,,,
560605500088,TRAIN SHUNT RESISTOR,MAS,,,,SBA,Very Low,54.6897,,,,,,,,,
560605636491,CR TEST PANEL FOR q SERIES RELAY WITH DIGITAL MICRO OHM METER,MAS,,,,TSB,Very Low,4.0096,,,,,,,,,
560605790029,Cable Clamp Assembly for Sleeper,MAS,,,,TSB,Low,333.3353,,,,,,,,Yes,Yes
560605830027,Condenser 2200 MFD 50V,MAS,,,,TSB,Very Low,101.7269,,,,,,,,Yes,Yes
560606310027,Siemens ALPHA Bond White 21.5 Mtrs,MAS,,,,SBA,Very Low,25.779,,,,,,,,,
560606600029,TRAIN SHUNT METER (PTJ MAKE),MAS,,,,SBA,Very Low,4.2881,,,,,,,,,
560606610254,Surge protection device (SPD) Class C for 24V DC as per specification in the enclosure ( One set con....,MAS,,,,SBA,Very Low,27.0327,,,,,,,,Yes,Yes
560607000034,THUMB SWITCH 2 POSITION,MAS,,,,TSB,Very Low,37.9246,,,,,,,,Yes,Yes
560607046599,THUMB SWITCH 3 POSITION.,MAS,,,,TSB,Very Low,26.5083,,,,,,,,,
560607080029,GALLANT DC-DC CONVERTOR (110V/50V DC/5Amps),MAS,,,,SBA,Very Low,7.4233,,,,,,,,Yes,Yes
