PL_Code,In_DMTR,In_Operational,In_Strategic,In_Criticality,Universe_Status
539802319137,0,1,0,0,Inventory_Only
539802319162,0,1,0,0,Inventory_Only
539802319174,0,1,0,0,Inventory_Only
539802319253,0,1,0,0,Inventory_Only
539802319320,0,1,0,0,Inventory_Only
539802319356,0,1,0,0,Inventory_Only
539802319368,0,1,0,0,Inventory_Only
539802398608,0,1,0,0,Inventory_Only
539802398633,0,1,0,0,Inventory_Only
539802398682,0,1,0,0,Inventory_Only
539802398700,0,1,0,0,Inventory_Only
539802398724,0,1,0,0,Inventory_Only
539802399390,0,1,0,0,Inventory_Only
539802401190,0,1,0,0,Inventory_Only
539802545800,0,1,0,0,Inventory_Only
539802601335,0,1,0,0,Inventory_Only
539802615050,0,1,0,0,Inventory_Only
539802616569,1,0,0,0,Demand_Only
539802616703,1,0,0,0,Demand_Only
539802648698,0,1,0,0,Inventory_Only
539802648730,0,1,0,0,Inventory_Only
539802649320,0,1,0,0,Inventory_Only
539802674340,0,1,0,0,Inventory_Only
539802674570,0,1,0,0,Inventory_Only
539802685427,0,1,0,0,Inventory_Only
539802804118,1,0,0,0,Demand_Only
539802804167,1,0,0,0,Demand_Only
539802804179,0,1,0,0,Inventory_Only
539802805135,0,1,0,0,Inventory_Only
539802831377,1,0,0,0,Demand_Only
539802851959,1,0,0,0,Demand_Only
539802852010,1,0,0,0,Demand_Only
539802862386,1,0,0,0,Demand_Only
539802896049,0,1,0,0,Inventory_Only
539802900879,1,0,0,0,Demand_Only
539802982203,0,1,0,0,Inventory_Only
539802996380,0,1,0,0,Inventory_Only
539802996457,0,1,0,0,Inventory_Only
539803344280,0,1,0,0,Inventory_Only
539803505494,0,1,0,0,Inventory_Only
539803505500,0,1,0,0,Inventory_Only
539803505512,0,1,0,0,Inventory_Only
539803505688,0,1,0,0,Inventory_Only
539803680036,0,1,0,0,Inventory_Only
539803680048,0,1,0,0,Inventory_Only
539803716997,0,1,0,0,Inventory_Only
539803717000,0,1,0,0,Inventory_Only
539803717059,0,1,0,0,Inventory_Only
539803717102,0,1,0,0,Inventory_Only
539804054789,0,1,0,0,Inventory_Only
539804082608,0,1,0,0,Inventory_Only
539804082610,0,1,0,0,Inventory_Only
539804082797,1,0,0,0,Demand_Only
539804140372,0,1,0,0,Inventory_Only
539804447143,0,1,0,0,Inventory_Only
539804447179,0,1,0,0,Inventory_Only
539804447234,0,1,0,0,Inventory_Only
539804447416,0,1,0,0,Inventory_Only
539804450166,0,1,0,0,Inventory_Only
539804450269,0,1,0,0,Inventory_Only
539804468353,0,1,0,0,Inventory_Only
539804489952,0,1,0,0,Inventory_Only
539804531166,0,1,0,0,Inventory_Only
539804531324,0,1,0,0,Inventory_Only
539804531403,0,1,0,0,Inventory_Only
539804575674,0,1,0,0,Inventory_Only
539804575704,0,1,0,0,Inventory_Only
539804575807,0,1,0,0,Inventory_Only
539804581248,0,1,0,0,Inventory_Only
539804721137,0,1,0,0,Inventory_Only
539804751828,0,1,0,0,Inventory_Only
539804752183,1,0,0,0,Demand_Only
539804752201,0,1,0,0,Inventory_Only
539804752225,0,1,0,0,Inventory_Only
539804753072,0,1,0,0,Inventory_Only
539804753989,0,1,0,0,Inventory_Only
539804754143,0,1,0,0,Inventory_Only
539804754222,0,1,0,0,Inventory_Only
539804776369,0,1,0,0,Inventory_Only
539804830637,0,1,0,0,Inventory_Only
539804978320,0,1,0,0,Inventory_Only
539804978872,0,1,0,0,Inventory_Only
539804978914,0,1,0,0,Inventory_Only
539804999371,0,1,0,0,Inventory_Only
539805021391,0,1,0,0,Inventory_Only
539805021573,1,0,0,0,Demand_Only
539805021810,0,1,0,0,Inventory_Only
539805021962,0,1,0,0,Inventory_Only
539805021974,0,1,0,0,Inventory_Only
539805022140,0,1,0,0,Inventory_Only
539805022309,0,1,0,0,Inventory_Only
539805022450,0,1,0,0,Inventory_Only
539805022772,0,1,0,0,Inventory_Only
539805022784,0,1,0,0,Inventory_Only
539805022942,0,1,0,0,Inventory_Only
539805023351,0,1,0,0,Inventory_Only
539805023648,0,1,0,0,Inventory_Only
539805023673,0,1,0,0,Inventory_Only
539805023685,0,1,0,0,Inventory_Only
539805023971,0,1,0,0,Inventory_Only
539805024100,0,1,0,0,Inventory_Only
539805024112,0,1,0,0,Inventory_Only
539805024124,0,1,0,0,Inventory_Only
539805024136,0,1,0,0,Inventory_Only
539805024148,0,1,0,0,Inventory_Only
539805024690,0,1,0,0,Inventory_Only
539805024707,0,1,0,0,Inventory_Only
539805024719,0,1,0,0,Inventory_Only
539805046442,1,0,0,0,Demand_Only
539805046570,1,0,0,0,Demand_Only
539805069326,0,1,0,0,Inventory_Only
539805069480,0,1,0,0,Inventory_Only
539805069521,0,1,0,0,Inventory_Only
539805069661,0,1,0,0,Inventory_Only
539805107303,0,1,0,0,Inventory_Only
539805124118,0,1,0,0,Inventory_Only
539805124167,0,1,0,0,Inventory_Only
539805290020,0,1,0,0,Inventory_Only
539805350052,1,0,0,0,Demand_Only
539805423687,1,0,0,0,Demand_Only
539805423699,1,0,0,0,Demand_Only
539805423857,1,0,0,0,Demand_Only
539805423912,1,0,0,0,Demand_Only
539805423924,1,0,0,0,Demand_Only
539805559238,0,1,0,0,Inventory_Only
539805714955,1,0,0,0,Demand_Only
539805721194,1,0,0,0,Demand_Only
539805734220,1,0,0,0,Demand_Only
539805736252,1,0,0,0,Demand_Only
539805736331,1,0,0,0,Demand_Only
539805771483,1,0,0,0,Demand_Only
539805825807,1,0,0,0,Demand_Only
539805826125,0,1,0,0,Inventory_Only
539805870126,0,1,0,0,Inventory_Only
539805880508,1,0,0,0,Demand_Only
539805880545,1,0,0,0,Demand_Only
539806099363,1,0,0,0,Demand_Only
539806099570,1,0,0,0,Demand_Only
539808521015,0,1,0,0,Inventory_Only
539808540228,0,1,0,0,Inventory_Only
539808558671,0,1,0,0,Inventory_Only
539808558920,0,1,0,0,Inventory_Only
539808559225,0,1,0,0,Inventory_Only
