PL_Code,Description,Months_Observed,Total_Issues,Average_Monthly_Demand,Std_Deviation,CV
432900164003,"Laptop i5 Processor, 14 inch Display with Battery and Adapter",33,3.0,0.0909,0.2919,3.2113
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FROM 1.100 TO....,54,542.0,10.037,7.2371,0.721
460151414110,Copper Lugs (Double Hole),43,25.0,0.5814,2.7188,4.6764
461500560400,GI Flat of Size 550X25X3mm to connect all cable armours to earth,3,20.0,6.6667,11.547,1.7321
462100771569,Copper tape of Size 25mm x 3mm,34,1726.0,50.7647,153.1897,3.0176
464214132778,Splice Plate,15,6.0,0.4,1.0556,2.639
469033852322,Enameled Number Plates,3,22.0,7.3333,12.7017,1.7321
469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,3,40.0,13.3333,23.094,1.7321
469062580055,RELEASED CATENARY WIRE 65 sqmm,44,665.35,15.1216,59.7592,3.9519
469863050743,RODOMETER,17,18.0,1.0588,2.2768,2.1503
470200493776,V Belt for LC GATE Motor,24,35.0,1.4583,4.3836,3.0059
470501710375,UPS 1 KVA,9,0.0,0.0,0.0,
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262/85 CONFOR....,47,42.0,0.8936,2.4604,2.7533
500500680030,HALF SPLIT DWC PIPE,53,14026.0,264.6415,889.8852,3.3626
501000243442,CT BOX (FRP TYPE),29,25.0,0.8621,2.6823,3.1114
501000263740,GI Pipe 50mm Dia 3.65mm Thick,54,2897.0,53.6481,168.4468,3.1398
501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,42,3.0,0.0714,0.4629,6.4807
501300041401,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",33,10.0,0.303,1.7408,5.7446
501400350020,Scanner EPSON V39,11,0.0,0.0,0.0,
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/97.(Amendme....,53,268.0,5.0566,6.4104,1.2677
502355361120,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",10,15.0,1.5,3.2404,2.1602
502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,38,42.0,1.1053,4.9745,4.5007
502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,53,300.0,5.6604,8.7353,1.5432
502356050030,CABLE TERMINATION BOX (C.I),40,0.0,0.0,0.0,
503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,40,101.0,2.525,6.954,2.7541
503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,34,25.0,0.7353,2.7115,3.6876
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,54,9211.0,170.5741,170.586,1.0001
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,54,1581.0,29.2778,75.466,2.5776
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,54,4102.0,75.963,94.5045,1.2441
508500010799,"PVC warning tape colour orange, width 250 mm (10) by printing with black letters (Southern Railway S....",20,6.835,0.3417,0.653,1.9107
508500690051,CABLE/PIPE FAULT AND MARKER LOCATOR,36,2.0,0.0556,0.2323,4.1816
508501090018,LAN Tester,33,1.0,0.0303,0.1741,5.7446
508502470029,CABLE / PIPE ROUTE LOCATOR,32,1.0,0.0312,0.1768,5.6569
508503310060,Metravi Hand Held Digital Multimeter,37,3.0,0.0811,0.4932,6.0828
508503570895,Earth Leakage Detector (12  channel) as per RDSO specification no. RDSO/SPN/256/2002 or latest,17,11.0,0.6471,1.3201,2.0401
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),20,96921.0,4846.05,10694.2299,2.2068
509000405457,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,20,34.0,1.7,4.0536,2.3845
509004730016,SHARP MULTIFUNCTION XEROX MACHINE MFM,46,1.0,0.0217,0.1474,6.7823
509051280160,Intelligence Addressable Aspiration Type Smoke Detector,32,1.0,0.0312,0.1768,5.6569
520504660025,SMALL SIZED VALVE REGULATED LEAD ACID (VRLA) BATTERY (SMF) 12V-84AH CAPACITY CONFIRMING TO JISC: 870....,48,114.0,2.375,9.9779,4.2012
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,54,22.0,0.4074,1.2961,3.1814
521102480039,232 - 485 Converter,42,32.0,0.7619,4.9377,6.4807
521102480040,USB TO 485 converter,42,32.0,0.7619,4.9377,6.4807
521104340026,External Modems for Auto hut Datalogger for networking of RTU as per RDSO specification no. IRS-S-99....,28,71.0,2.5357,4.9477,1.9512
521501630045,MULTIFUNCTION XEROX MACHINE MFM,3,2.0,0.6667,1.1547,1.7321
522002010024,FUSE ND 20 Amps,51,1520.0,29.8039,77.7043,2.6072
522002180021,TRANSFORMER 400/110V/1KVA as per RDSO Spec IRS.S.72/88 Ammendemnet 1 or latest,51,1.0,0.0196,0.14,7.1414
522002180033,TRANSFORMER 400/110V/500VA,51,16.0,0.3137,1.7606,5.6118
522004290085,FCOM(Part No. H001M115RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,9,15.0,1.6667,3.5355,2.1213
522004290103,MDP(Part No.H001M205R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3....,9,12.0,1.3333,2.3979,1.7984
522004290115,MCPU(Part no. H001M209R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,9,5.0,0.5556,1.6667,3.0
522004290127,MSC(Part no.H001M221RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver ....,9,10.0,1.1111,2.2608,2.0347
522004290139,MDC(Part no.H001M225) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 o....,9,7.0,0.7778,2.3333,3.0
522005520025,Complete Communication Material including network switches among other items compatible with existin....,4,0.0,0.0,0.0,
525500230316,SOLAR PANEL 12V/50W,47,0.0,0.0,0.0,
528100010050,Condenser 1000 MFD 50V,54,1974.0,36.5556,80.5588,2.2037
528100010103,"MPP Film AC Capacitor of 48 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",44,160.0,3.6364,9.4231,2.5914
528100030023,"MPP Film AC Capacitor of 36 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",54,186.0,3.4444,8.7495,2.5402
539800218676,"Sealed maintenance free VRLA battery set of 60 cells, 2V/300 Ah capacity each  (Stackable) in combin....",15,9.0,0.6,0.9856,1.6427
539800218688,"Sealed maintenance free VRLA battery set of 60 cells, 2V/200 Ah capacity each (Stackable) in combina....",15,18.0,1.2,2.0771,1.7309
539800218690,"Sealed maintenance free VRLA battery set of 60 cells, 2V/120 Ah capacity each  (Stackable) in combin....",15,6.0,0.4,0.8281,2.0702
