PL_Code,Description,Business_Unit,Criticality_Class,Forecast_Method,Forecast_Annual,Forecast_Monthly,Lead_Time_Days,Demand_During_LT,Safety_Stock,ROP,Current_Stock,Reorder_Gap,Stock_Status
539810200024,FIT & FORGET LEAD WIRE 4 MTRS 4 MM DIA,MAS,Non-Critical,TSB,530.04,44.17,311.5,452.04,663.63,1115.67,0.0,1115.67,Critical Shortage
501000263740,GI Pipe 50mm Dia 3.65mm Thick,MAS,Critical,TSB,344.17,28.681,282.0,265.72,843.35,1109.07,0.0,1109.07,Critical Shortage
549006110030,Earth Electrode with Acessoried As Per Drawing No. SG/SN/02/13,MAS,Critical,TSB,371.87,30.989,288.0,293.22,812.12,1105.34,1668.0,-562.66,Healthy
569903410020,Earthenhancement compound. The materialshould conform to the requirements of IEC 62561-7. (Digging ....,MAS,Non-Critical,SBA,651.43,54.286,342.0,609.96,463.22,1073.18,1600.0,-526.82,Healthy
539811130029,FUSE ND 2 Amps,MAS,Critical,TSB,1547.76,128.98,75.0,317.82,737.16,1054.98,670.0,384.98,Shortage
539811150030,FUSE ND 1 AMPS,MAS,Critical,TSB,271.42,22.618,98.0,72.82,929.43,1002.25,0.0,1002.25,Critical Shortage
56500142,RELAY QNA1 ACI 8F/8B,MAS,Critical,Croston,1759.98,146.665,121.0,583.05,375.02,958.07,3.0,955.07,Critical Shortage
539820980099,"Polyester Rain coat with Cap, Pant and Reflective tape",MAS,Non-Critical,TSB,514.88,42.907,305.0,429.95,525.25,955.2,0.0,955.2,Critical Shortage
539810160026,Fit & Forget Lead wire 5 Mtrs 4 mm dia,MAS,Non-Critical,TSB,251.05,20.921,420.0,288.68,651.52,940.2,0.0,940.2,Critical Shortage
56110029,CABLE PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3C X 10 SQ.MM,MAS,Critical,SBA,4682.99,390.249,12.5,160.27,747.6,907.87,4823.0,-3915.13,Excess
539897500850,GI pipe 80mm conforming to IS:1239 heavy class with coupler,MAS,Non-Critical,SBA,1140.0,95.0,250.0,780.29,112.39,892.68,760.0,132.68,Shortage
539851110029,Fuse block (without ND Fuse) PBT as RDSO specn. No. IRS:S-75/2006(Rev. 2) drg No. SA-23748 (Alt. 4).,MAS,Critical,TSB,1341.43,111.786,99.0,363.59,483.66,847.25,6246.0,-5398.75,Excess
560403020353,Sensor Mounting Bracket (Altpro make),MAS,Critical,SBA,1254.0,104.5,209.0,717.55,106.02,823.57,0.0,823.57,Critical Shortage
560403020377,VUR Box (Altpro make),MAS,Critical,SBA,1254.0,104.5,209.0,717.55,106.02,823.57,0.0,823.57,Critical Shortage
560402860815,VUR Column (Altpro Make),MAS,Critical,SBA,1254.0,104.5,209.0,717.55,106.02,823.57,0.0,823.57,Critical Shortage
