PL_Code,PL_Code_Normalized,Length,Issue_Type,Changed
539812072116,539812072116,12,Len12,No
539812072232,539812072232,12,Len12,No
539812072244,539812072244,12,Len12,No
539812072578,539812072578,12,Len12,No
539812072608,539812072608,12,Len12,No
539812073005,539812073005,12,Len12,No
539812073467,539812073467,12,Len12,No
539812073637,539812073637,12,Len12,No
539812211074,539812211074,12,Len12,No
539812211293,539812211293,12,Len12,No
539812211300,539812211300,12,Len12,No
539812211311,539812211311,12,Len12,No
539812211323,539812211323,12,Len12,No
539812220087,539812220087,12,Len12,No
539812250020,539812250020,12,Len12,No
539812290028,539812290028,12,Len12,No
539812480024,539812480024,12,Len12,No
539812480036,539812480036,12,Len12,No
539812480048,539812480048,12,Len12,No
539812601022,539812601022,12,Len12,No
539812630034,539812630034,12,Len12,No
539812630046,539812630046,12,Len12,No
539812630058,539812630058,12,Len12,No
539812630060,539812630060,12,Len12,No
539812630423,539812630423,12,Len12,No
539812630447,539812630447,12,Len12,No
539812630459,539812630459,12,Len12,No
539812630460,539812630460,12,Len12,No
539812630502,539812630502,12,Len12,No
539812630514,539812630514,12,Len12,No
539812630538,539812630538,12,Len12,No
539812641044,539812641044,12,Len12,No
539812690020,539812690020,12,Len12,No
539812721052,539812721052,12,Len12,No
539812840016,539812840016,12,Len12,No
539812900049,539812900049,12,Len12,No
539812910020,539812910020,12,Len12,No
539813300108,539813300108,12,Len12,No
539813330216,539813330216,12,Len12,No
539813330228,539813330228,12,Len12,No
539813330230,539813330230,12,Len12,No
539813330241,539813330241,12,Len12,No
539813330253,539813330253,12,Len12,No
539813330289,539813330289,12,Len12,No
539813330290,539813330290,12,Len12,No
539813330502,539813330502,12,Len12,No
539813370160,539813370160,12,Len12,No
539813440022,539813440022,12,Len12,No
539813440708,539813440708,12,Len12,No
539813440710,539813440710,12,Len12,No
539813442018,539813442018,12,Len12,No
539813442079,539813442079,12,Len12,No
539813610020,539813610020,12,Len12,No
539813960030,539813960030,12,Len12,No
539813960169,539813960169,12,Len12,No
539814380288,539814380288,12,Len12,No
539814380586,539814380586,12,Len12,No
539814382170,539814382170,12,Len12,No
539814460065,539814460065,12,Len12,No
539814460843,539814460843,12,Len12,No
539814740050,539814740050,12,Len12,No
539814840056,539814840056,12,Len12,No
539814880108,539814880108,12,Len12,No
539815641067,539815641067,12,Len12,No
539815670020,539815670020,12,Len12,No
539816341183,539816341183,12,Len12,No
539816341250,539816341250,12,Len12,No
539816700018,539816700018,12,Len12,No
539816761032,539816761032,12,Len12,No
539816930024,539816930024,12,Len12,No
539817170037,539817170037,12,Len12,No
539817170050,539817170050,12,Len12,No
539817170062,539817170062,12,Len12,No
539817170141,539817170141,12,Len12,No
539817320023,539817320023,12,Len12,No
539817320060,539817320060,12,Len12,No
539817430072,539817430072,12,Len12,No
539818290040,539818290040,12,Len12,No
539818290051,539818290051,12,Len12,No
539818290063,539818290063,12,Len12,No
539818290075,539818290075,12,Len12,No
539818290087,539818290087,12,Len12,No
539818290099,539818290099,12,Len12,No
539818371075,539818371075,12,Len12,No
539818371191,539818371191,12,Len12,No
539818951080,539818951080,12,Len12,No
539819210180,539819210180,12,Len12,No
539819621026,539819621026,12,Len12,No
539819970021,539819970021,12,Len12,No
539820420082,539820420082,12,Len12,No
539820831033,539820831033,12,Len12,No
539820860021,539820860021,12,Len12,No
539820871055,539820871055,12,Len12,No
539820890037,539820890037,12,Len12,No
539820980087,539820980087,12,Len12,No
539820980099,539820980099,12,Len12,No
539820980129,539820980129,12,Len12,No
539821090016,539821090016,12,Len12,No
539821091100,539821091100,12,Len12,No
539821091215,539821091215,12,Len12,No
539821491321,539821491321,12,Len12,No
539821491357,539821491357,12,Len12,No
539821491369,539821491369,12,Len12,No
539821491382,539821491382,12,Len12,No
539821491412,539821491412,12,Len12,No
539821491473,539821491473,12,Len12,No
539821491576,539821491576,12,Len12,No
539821770076,539821770076,12,Len12,No
539821770090,539821770090,12,Len12,No
539821910020,539821910020,12,Len12,No
539822000011,539822000011,12,Len12,No
539822520055,539822520055,12,Len12,No
539822520067,539822520067,12,Len12,No
539823791010,539823791010,12,Len12,No
539825241013,539825241013,12,Len12,No
539825241189,539825241189,12,Len12,No
539825611059,539825611059,12,Len12,No
539825640023,539825640023,12,Len12,No
539825640047,539825640047,12,Len12,No
539825701012,539825701012,12,Len12,No
539825960182,539825960182,12,Len12,No
539827130024,539827130024,12,Len12,No
539827750105,539827750105,12,Len12,No
539827750129,539827750129,12,Len12,No
539828400035,539828400035,12,Len12,No
539829410012,539829410012,12,Len12,No
539829420029,539829420029,12,Len12,No
539829430011,539829430011,12,Len12,No
539829440028,539829440028,12,Len12,No
539829480026,539829480026,12,Len12,No
539829480038,539829480038,12,Len12,No
539829490019,539829490019,12,Len12,No
539829500013,539829500013,12,Len12,No
539829520024,539829520024,12,Len12,No
539829580021,539829580021,12,Len12,No
