PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
71010348,"BRUSHES, PAINTS & VARNISHES, FLAT SIZE 38mm OF VULCANIZED RUBBER SETTING TYPE TO SPECN.IS:....",Active,Monitor,1634.3,C,Operational
71010336,"BRUSHES, PAINTS & VARNISHES, FLAT, SIZE 25mm OF VULCANIZED RUBBER SETTING TYPE TO SPECN.IS....",Slow Moving,Very Slow Moving,815.04,C,Operational
570100230173,PRINTER INK BOTTLE FOR PRINTER EPSON L 380,Dead Stock,Dead Stock,0.0,C,Operational
81070317,LIQUID ANTISEPTIC DETTOL IN PHIALS OF 50 ML.,Active,Monitor,75.38,C,Operational
45174416,.....,Slow Moving,Very Slow Moving,0.0,C,Operational
45174416,.....,Slow Moving,Very Slow Moving,0.0,C,Operational
41095066,"PRESSURE SENSITIVE ADHESIVE (PVC) TAPE FOR ELECTRICAL PURPOSED FLAME RETARDANT, THICKNESS ....",Active,Monitor,332.81,C,Operational
81050525,LIQUID HAND WASH OF BRAND MEDIMIX(OR) HOMOCOL (OR) DETTOL (OR) LIFEBUOY WITH A PERFUME OF ....,Active,Monitor,599.15,C,Operational
83904839,TAG COTTON WHITE 30 CMS LONG IN BUNDLES OF 100 NOS. EACH (SHOE LACE PATTERN) CSO/M.077).,Active,Monitor,465.3,C,Operational
80090400,"Superior Kerosene Oil (SKO)- Non-PDS, IS: 1459: 2016  3rd  Revision.",Active,Monitor,934.62,C,Operational
83049502,PLAIN COPIER PAPER GSM 80+/-4% IN SIZE OF 420 X 297 MM (A3 SIZE) CONFORMING TO IS:14490/19....,Active,Monitor,1751.81,C,Operational
83903112,"PINS IN PACKETS OF 25 GMS, PLATED 2.5 CM LONG IS.5653/88 TO CSO/VOC NO. M.046.",Active,Monitor,0.0,C,Operational
83904827,TAG COTTON WHITE 60 CM LONG IN BUNDLES OF 100 EACH (SHOE LACE PATTERN ).,Active,Monitor,602.27,C,Operational
77032007,"ENAMEL, SYNTHETIC, EXTERIOR, FINISHING, 'BLACK'.  SPECIFICATION:  IS:8662\04 & ICF\MD\SPEC....",Dead Stock,Dead Stock,0.0,C,Operational
77032500,"ENAMEL, SYNTHETIC, EXTERIOR, FINISHING 'GOLDEN YELLOW' TO ISC-356 OF IS:5/2007.  SPECIFICA....",Active,Monitor,2472.4,C,Operational
