PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,C,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,A,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,C,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,C,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,C,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,C,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,B,Operational
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",Dead Stock,Dead Stock,26258.73,C,Operational
539820870014,DWC PIPE,Dead Stock,Dead Stock,0.0,C,Operational
539814480027,RELAY ECR 4F/4B.,Dead Stock,Dead Stock,0.0,C,Operational
567900801023,SURGE PROTECTION DEVICE,Dead Stock,Dead Stock,159576.2,C,Operational
567900801023,SURGE PROTECTION DEVICE,Dead Stock,Dead Stock,159576.2,C,Operational
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91....,Active,Active,184800.0,C,Operational
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91....,Active,Active,184800.0,C,Operational
549007491562,PIPE GI 50MM(2) (CS 77),Dead Stock,Dead Stock,0.0,C,Operational
539841330010,Relay Rack capacity 56 relays,Dead Stock,Dead Stock,0.0,C,Operational
539826140010,CT Box Point,Slow Moving,Slow Moving,0.0,C,Operational
539804970010,LED TV 55 Inch,Slow Moving,Very Slow Moving,0.0,C,Operational
567900808704,INDICATIVE TYPE SURGE PROTECTION DEVICE CLASS-D FOR 110V AC/DC,Dead Stock,Dead Stock,0.0,C,Operational
56301571,ROTARY TYPE  POINT MACHINE110V,Slow Moving,Very Slow Moving,0.0,C,Operational
56301571,ROTARY TYPE  POINT MACHINE110V,Slow Moving,Very Slow Moving,0.0,C,Operational
567900805272,SURGE PROTECTION DEVICE 24V,Dead Stock,Dead Stock,0.0,C,Operational
560606680013,Complete Earthing and Bonding System ( Maintenance Free Earth )with all accessories as per....,Dead Stock,Dead Stock,0.0,C,Operational
863500010164,Smoke cum heat sensor,Slow Moving,Very Slow Moving,0.0,C,Operational
539859120012,Linear Heat Sensing Interface Module,Dead Stock,Dead Stock,0.0,C,Operational
569003030126,Unarmoured Fire Survival Circuit Integrity Cable 2 X 1.5 Sq.mm As Per RDSO/SPN/217/2021-VE....,Dead Stock,Dead Stock,0.0,C,Operational
569003030126,Unarmoured Fire Survival Circuit Integrity Cable 2 X 1.5 Sq.mm As Per RDSO/SPN/217/2021-VE....,Dead Stock,Dead Stock,0.0,C,Operational
569003010127,(Sch-A-3)Fire Alarm Analogue Addressable and Resetable Manual Call Point as per RDSO/SPN/2....,Dead Stock,Dead Stock,8000.0,C,Operational
