PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
432500710018,LED TORCH LIGHT HEAD YPE,3.0,Nos.,2924.0,8772.0,30-04-2024,05-05-2025,398,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
902500310010,Revolving Chair,2.0,Nos.,1176.82,2353.63,28-07-2023,28-07-2023,1045,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
469043980011,TABLE GLASS PLAIN  ( 8 MM THICK ),1.0,Nos.,750.0,750.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000514553,COMPUTER TABLE -SMALL,1.0,Nos.,500.0,500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
539847920016,600 VA UPS make Numeric,0.0,Nos.,500.0,0.0,19-10-2021,16-12-2024,538,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
615400010060,Ladder wooden - 6(feet),1.0,Nos.,150.0,150.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
799048680148,Padlock G.I. SIZE 65MM,1.0,Nos.,75.0,75.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
570102670012,Keyboard,1.0,Nos.,200.0,200.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
539845530016,CORDLESS MOUSE,1.0,Nos.,75.0,75.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
570100216097,compuer printer  brother,0.0,Nos.,1500.0,0.0,19-10-2021,13-08-2025,298,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
570103410010,Computer monitor TFT-18.5 MAKE-HCL,1.0,Nos.,1000.0,1000.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
570100822428,CPU HCL make,1.0,Nos.,1500.0,1500.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
